epoch,acc,loss,val_acc,val_loss
0,0.9301278845476348,0.2792752243619066,0.08920333569907736,4.6492116439418645
1,0.9594754431505164,0.10932958358505819,0.0774041873669269,6.060013442448981
2,0.9617140180837133,0.09259083478004335,0.07270227111426544,7.154532966586696
3,0.9625634064442381,0.08586184679494875,0.0888041163946061,7.676295355586316
4,0.9632302159991395,0.08127281317611429,0.08627572746628814,8.251703635947429
5,0.9630396989850081,0.07877297160030607,0.08853797019162526,8.637546606314276
6,0.9676359219842284,0.07716256473524681,0.0781139105748758,8.946960791702216
7,0.9720813190132774,0.0741108288008761,0.08778388928317955,9.289074139699943
8,0.9739229834964636,0.07185916006103547,0.08791696238466998,9.517704007302386
9,0.9758043390255023,0.06976010798413375,0.08671930447125621,9.636597599519577
